3-D '/T/r/i/d/i/
academic_discipline ,/&/k/@/'d/E/m/I/k_'d/I/s/@/pl/I/n
academic_disputation ,/&/k/@/'d/E/m/I/k_,d/I/sp/j//U/'t/eI//S//@/n
academic_freedom ,/&/k/@/'d/E/m/I/k_'fr/i/d/@/m
academic_gown ,/&/k/@/'d/E/m/I/k_g/AU/n
academic_hood ,/&/k/@/'d/E/m/I/k_h/U/d
academic_institution ,/&/k/@/'d/E/m/I/k_,/I/nst/I/'t/u//S//@/n
academic_psychology ,/&/k/@/'d/E/m/I/k_s/aI/'k/A/l/@//dZ//i/
academic_rank ,/&/k/@/'d/E/m/I/k_r/&//N/k
academic_specialty ,/&/k/@/'d/E/m/I/k_'sp/E//S//@/lt/i/
academic_year ,/&/k/@/'d/E/m/I/k_/j//i/r
academise /@/'k/&/d/@/,m/aI/z
academism /@/'k/&/d/@/,m/I/z/@/m
academize /@/'k/&/d/@/,m/aI/z
Academus ,/&/k/@/'d/i/m/@/s
academy /@/'k/&/d/@/m/i/
academy_blue /@/'k/&/d/@/m/i/_bl/u/
academy_board /@/'k/&/d/@/m/i/_b/oU/rd
academy_figure /@/'k/&/d/@/m/i/_'f/I/g/j//@/r
Acadia /@/'k/eI/d/i//@/
Acadian /@/'k/eI/d/i//@/n
Acadie AkA'd/i/
acalculia ,/eI/k/&/l'k/j//u/l/i//@/
acaleph '/&/k/@/,l/E/f
acalephe '/&/k/@/,l/i/f
Acamas '/&/km/@/s
acanthaceous ,/&/k/@/n'/T//eI//S//@/s
acanthine /@/'k/&/n/T//I/n
acanthite /@/'k/&/n/T//aI/t
acanthocarpous /@/,k/&/n/T//@/'k/A/rp/@/s
acanthocephalan /@/,k/&/n/T//@/'s/E/f/@/l/@/n
acanthocladous ,/&/k/@/n'/T//A/kl/@/d/@/s
acanthodian ,/&/k/@/n'/T//oU/d/i//@/n
acanthoid /@/'k/&/n/T///Oi//d
acanthopterygian ,/&/k/@/n,/T//A/pt/@/'r/I//dZ//i//@/n
acanthosis ,/&/k/@/n'/T//oU/s/I/s
acanthotic ,/&/k/@/n'/T//A/t/I/k
acanthous /@/'k/&/n/T//@/s
acanthus /@/'k/&/n/T//@/s
acanthus_family /@/'k/&/n/T//@/s_'f/&/m/@/l/i/
acanthus_leaf /@/'k/&/n/T//@/s_l/i/f
acapnia /@/'k/&/pn/i//@/
acappella ,/A/_k/@/'p/E/l/@/
Acapulco ,/&/k/@/'p/U/lk/oU/
Acapulco_gold ,/&/k/@/'p/U/lk/oU/_g/oU/ld
acardia /eI/'k/A/rd/i//@/
acardiac /eI/'k/A/rd/i/,/&/k
acariasis ,/&/k/@/'r/aI//@/s/I/s
acaricide /@/'k/&/r/I/,s/aI/d
acarid '/&/k/@/r/I/d
acaridan /@/'k/&/r/I/d/-/n
acarine '/&/k/@/,r/aI/n
Acarnan /@/'k/A/rn/@/n
acaroid '/&/k/@/,r//Oi//d
acaroid_resin '/&/k/@/,r//Oi//d_'r/E/z/I/n
acarology ,/&/k/@/'r/A/l/@//dZ//i/
acarophobia ,/&/k/@/r/@/fb/i//@/
acarpelous /eI/'k/A/rp/@/l/@/s
acarpous /eI/'k/A/rp/@/s
acarus '/&/k/@/r/@/s
Acastus /@/'k/&/st/@/s
acatalectic /eI/,k/&/t'/-/l/E/kt/I/k
acaudal /eI/'k/O/d/-/l
acaudate /eI/'k/O/d/eI/t
acaulescent ,/&/k/O/'l/E/s/@/nt
acaulous /eI/'k/O/l/@/s
Accad '/&/k/&/d
Accadian /@/'k/eI/d/i//@/n
Acca_Larentia '/&/k/@/_l/@/'r/E/n/S//i//@/
accede /&/k's/i/d
accelerando /&/k,s/E/l/@/'r/A/nd/oU/
accelerant /&/k's/E/l/@/r/@/nt
accelerate /&/k's/E/l/@/,r/eI/t
acceleration /&/k,s/E/l/@/'r/eI//S//@/n
acceleration_coefficient /&/k,s/E/l/@/'r/eI//S//@/n_,k/oU//@/'f/I//S//@/nt
acceleration_note /&/k,s/E/l/@/'r/eI//S//@/n_n/oU/t
acceleration_principle /&/k,s/E/l/@/'r/eI//S//@/n_'pr/I/ns/@/p/@/l
accelerative /&/k's/E/l/@/,r/eI/t/I/v
accelerator /&/k's/E/l/@/,r/eI/t/@/r
acceleratory /&/k's/E/l/@/r/@/,t/oU/r/i/
accelerator_globulin /&/k's/E/l/@/,r/eI/t/@/r_'gl/A/b/j//@/l/I/n
accelerator_nerve /&/k's/E/l/@/,r/eI/t/@/r_n/[@]/rv
accelerometer /&/k,s/E/l/@/'r/A/m/I/t/@/r
accent '/&/k,s/E/nt
Accent '/&/ks/E/nt
accent/n '/&/ks/E/nt
accent/v /&/k's/E/nt
accentor /&/k's/E/nt/@/r
accentuable /&/k's/E/n/tS//u//@/b/@/l
accentual /&/k's/E/n/tS//u//@/l
accentually /&/k's/E/n/tS//u//@/ll/i/
accentuate /&/k's/E/n/tS//u/,/eI/t
accentuation /&/k,s/E/n/tS//u/'/eI//S//@/n
accentuator /&/k's/E/n/tS//u/,/eI/t/@/r
accept /&/k's/E/pt
acceptability /@/k,s/E/pt/@/'b/I/l/I/t/i/
acceptable /&/k's/E/pt/@/b/@/l
acceptable_person /&/k's/E/pt/@/b/@/l_'p/[@]/rs/@/n
acceptance /&/k's/E/pt/@/ns
acceptance_bill /&/k's/E/pt/@/ns_b/I/l
acceptance_race /&/k's/E/pt/@/ns_r/eI/s
acceptance_sampling /&/k's/E/pt/@/ns_'s/&/mpl/I//N/
acceptance_speech /&/k's/E/pt/@/ns_sp/i//tS/
acceptancy /&/k's/E/pt/@/ns/i/
acceptant /&/k's/E/pt/@/nt
acceptation ,/&/ks/E/p't/eI//S//@/n
accepted /&/k's/E/pt/I/d
acceptedly /&/k's/E/pt/I/dl/i/
accepted_fact /&/k's/E/pt/I/d_f/&/kt
accepted_meaning /&/k's/E/pt/I/d_'m/i/n/I//N/
acceptee '/&/ks/E/p't/i/
accepter /&/k's/E/pt/@/r
acceptor /&/k's/E/pt/@/r
acceptor_atom /&/k's/E/pt/@/r_'/&/t/@/m
acceptor_impurity /&/k's/E/pt/@/r_/I/m'p/j//U/r/I/t/i/
accept_advice /&/k's/E/pt_/&/d'v/aI/s
accept_Christ /&/k's/E/pt_kr/aI/st
accept_obligation /&/k's/E/pt_,/A/bl/@/'g/@//S//@/n
access '/&/ks/E/s
accessary /&/k's/E/s/@/r/i/
accessibility /@/k,s/E/s/I/'b/I/l/I/t/i/
accessible /&/k's/E/s/@/b/@/l
accession /&/k's/E//S//@/n
accession_book /&/k's/E//S//@/n_b/U/k
accession_service /&/k's/E//S//@/n_'s/[@]/rv/I/s
accessorial ,/&/ks/I/'s/oU/r/i//@/l
accessorius ,/&/ks/I/'s/oU/r/i//@/s
accessorize /&/k's/E/s/@/,r/I/z
accessory /&/k's/E/s/@/r/i/
accessory_chromosome /&/k's/E/s/@/r/i/_'kr/oU/m/@/,s/oU/m
accessory_nerve /&/k's/E/s/@/r/i/_n/[@]/rv
access_road '/&/ks/E/s_r/oU/d
access_time '/&/ks/E/s_t/aI/m
acciaccatura /A/,/tS//A/k/@/'t/U/r/@/
accidence '/&/ks/I/d/@/ns
accident '/&/ks/I/d/@/nt
accident-prone '/&/ks/I/d/@/nt_pr/oU/n
accidental ,/&/ks/I/'d/E/nt/-/l
accidentalism ,/&/ks/I/'d/E/n,t/-/l/I/z/@/m
accidentally ,/&/ks/I/'d/E/nt/-/ll/i/
accidental_discovery ,/&/ks/I/'d/E/nt/-/l_d/I/'sk/@/v/@/r/i/
accident_boat '/&/ks/I/d/@/nt_b/oU/t
accident_insurance '/&/ks/I/d/@/nt_/I/n'/S//U/r/@/ns
accident_neurosis '/&/ks/I/d/@/nt_n/U/'r/oU/s/I/s
accident_prone '/&/ks/I/d/@/nt_pr/oU/n
accident_tout '/&/ks/I/d/@/nt_t/AU/t
accidie '/&/ks/I/d/i/
accipiter /&/k's/I/p/I/t/@/r
accipitral /&/k's/I/p/I/tr/@/l
accipitrine /&/k's/I/p/I/tr/I/n
Accius '/&/k/S//i//@/s
acclaim /@/'kl/eI/m
acclamation ,/&/kl/@/'m/eI//S//@/n
acclamation_medal ,/&/kl/@/'m/eI//S//@/n_'m/E/d/-/l
acclamatory /@/'kl/&/m/@/,t/oU/r/i/
acclimate /@/'kl/aI/m/I/t
acclimation ,/&/kl/@/'m/eI//S//@/n
acclimation_fever ,/&/kl/@/'m/eI//S//@/n_'f/i/v/@/r
acclimatise /@/'kl/aI/m/@/,t/aI/z
acclimatize /@/'kl/aI/m/@/,t/aI/z
acclivity /@/'kl/I/v/I/t/i/
acclivous /@/'kl/aI/v/@/s
accolade ,/&/k/@/'l/eI/d
accoladed ,/&/k/@/'l/eI/d/I/d
accolated '/&/k/@/,l/eI/t/I/d
accommodate /@/'k/A/m/@/,d/eI/t
accommodate_distribution /@/'k/A/m/@/,d/eI/t_,d/I/str/@/'b/j//u//S//@/n
accommodate_with /@/'k/A/m/@/,d/eI/t_w/I//T/
accommodating /@/'k/A/m/@/,d/eI/t/I//N/
accommodatingly /@/'k/A/m/@/,d/eI/t/I//N/l/i/
accommodation /@/,k/A/m/@/'d/eI//S//@/n
accommodation_acceptance /@/,k/A/m/@/'d/eI//S//@/n_/&/k's/E/pt/@/ns
accommodation_bill /@/,k/A/m/@/'d/eI//S//@/n_b/I/l
accommodation_draft /@/,k/A/m/@/'d/eI//S//@/n_dr/&/ft
accommodation_group /@/,k/A/m/@/'d/eI//S//@/n_gr/u/p
accommodation_ladder /@/,k/A/m/@/'d/eI//S//@/n_'l/&/d/@/r
accommodation_line /@/,k/A/m/@/'d/eI//S//@/n_l/aI/n
accommodation_train /@/,k/A/m/@/'d/eI//S//@/n_tr/eI/n
accommodative /@/'k/A/m/@/,d/eI/t/I/v
accommodativeness /@/'k/A/m/@/,d/eI/t/I/vn/E/s
accompaniment /@/'k/@/mp/@/n/I/m/@/nt
accompaniment_figure /@/'k/@/mp/@/n/I/m/@/nt_'f/I/g/j//@/r
accompanist /@/'k/@/mp/@/n/I/st
accompany /@/'k/@/mp/@/n/i/
accompanyist /@/'k/@/mp/@/n/i//I/st
accomplice /@/'k/A/mpl/I/s
accomplish /@/'k/A/mpl/I//S/
accomplished /@/'k/A/mpl/I//S/t
accomplished_fact /@/'k/A/mpl/I//S/t_f/&/kt
accomplishment /@/'k/A/mpl/I//S/m/E/nt
accompt /@/'k/AU/nt
accord /@/'k/O/rd
accordance /@/'k/O/rd/-/ns
accordant /@/'k/O/rd/-/nt
accordantly /@/'k/O/rd/-/ntl/i/
accordatura /@/,k/O/rd/@/'t/U/r/@/
according /@/'k/O/rd/I//N/
accordingly /@/'k/O/rd/I//N/l/i/
accordion /@/'k/O/rd/i//@/n
accost /@/'k/O/st
accosted /@/'k/O/st/I/d
accouchement Ak/u//S/'m/A/N
accoucheur Ak/u/'/S//y/R
accoucheuse Ak/u/'/S//y/z
account /@/'k/AU/nt
accountability /@/,k/&//U/nt/@/'b/I/l/I/t/i/
accountable /@/'k/AU/nt/@/b/@/l
accountableness /@/'k/AU/nt/@/b/@/ln/E/s
accountancy /@/'k/AU/nt/-/ns/i/
accountant /@/'k/AU/nt/-/nt
accounting /@/'k/AU/nt/I//N/
account_book /@/'k/AU/nt_b/U/k
account_current /@/'k/AU/nt_'k/[@]/r/@/nt
account_days /@/'k/AU/nt_d/eI/z
account_duty /@/'k/AU/nt_'d/u/t/i/
account_entry /@/'k/AU/nt_'/E/ntr/i/
account_executive /@/'k/AU/nt_/I/g'z/E/k/j//@/t/I/v
account_for /@/'k/AU/nt_f/O/r
account_receivable /@/'k/AU/nt_r/I/'s/i/v/@/b/@/l
account_render /@/'k/AU/nt_'r/E/nd/@/r
account_sales /@/'k/AU/nt_s/eI/lz
account_stated /@/'k/AU/nt_'st/eI/t/I/d
account_with /@/'k/AU/nt_w/I//T/
accouplement /@/'k/@/p/@/lm/@/nt
accouter /@/'k/u/t/@/r
accouterment /@/'k/u/t/@/rm/@/nt
accoutre /@/'k/u/t/@/r
accoutrement /@/'k/u/t/@/rm/@/nt
accra '/&/kr/@/
Accra '/&/kr/@/
accredit /@/'kr/E/d/I/t
accredit_with /@/'kr/E/d/I/t_w/I//T/
accrescent /@/'kr/E/s/@/nt
accrete /@/'kr/i/t
accretion /@/'kr/i//S//@/n
accretion_borer /@/'kr/i//S//@/n_'b/oU/r/@/r
accretion_cutting /@/'kr/i//S//@/n_'k/@/t/I//N/
accroach /@/'kr/oU//tS/
accrual /@/'kr/u//@/l
accrual_basis /@/'kr/u//@/l_'b/eI/s/I/s
accrue /@/'kr/u/
accrue_from /@/'kr/u/_fr/@/m
acculturate /@/'k/@/l/tS//@/,r/eI/t
acculturation /@/,k/@/l/tS//@/'r/eI//S//@/n
acculturationist /@/,k/@/l/tS//@/'r/eI//S//@/n/I/st
acculturize /@/'k/@/l/tS//@/,r/aI/z
accumbent /@/'k/@/mb/@/nt
accumulate /@/'k/j//u/m/j//@/,l/eI/t
accumulation /@/,k/j//u/m/j//@/'l/eI//S//@/n
accumulation_factor /@/,k/j//u/m/j//@/'l/eI//S//@/n_'f/&/kt/@/r
accumulation_point /@/,k/j//u/m/j//@/'l/eI//S//@/n_p//Oi//nt
accumulative /@/'k/j//u/m/j//@/,l/eI/t/I/v
accumulatively /@/'k/j//u/m/j//@/,l/eI/t/I/vl/i/
accumulativeness /@/'k/j//u/m/j//@/,l/eI/t/I/vn/E/s
accumulator /@/'k/j//u/m/j//@/,l/eI/t/@/r
accuracy '/&/k/j//@/r/@/s/i/
accurate '/&/k/j//@/r/I/t
accurately '/&/k/j//@/r/I/tl/i/
accurateness '/&/k/j//@/r/I/tn/E/s
accursed /@/'k/[@]/rs/I/d
accursedly /@/'k/[@]/rs/I/dl/i/
accusal /@/'k/j//u/z/@/l
accusation ,/&/k/j//U/'z/eI//S//@/n
accusatival /@/,k/j//u/z/@/'t/aI/v/@/l
accusative /@/'k/j//u/z/@/t/I/v
accusative-dative /@/'k/j//u/z/@/t/I/v_'d/eI/t/I/v
accusatively /@/'k/j//u/z/@/t/I/vl/i/
accusatorial /@/,k/j//u/z/@/'t/oU/r/i//@/l
accusatorially /@/,k/j//u/z/@/'t/oU/r/i//@/ll/i/
accusatory /@/'k/j//u/z/@/,t/oU/r/i/
accuse /@/'k/j//u/z
accused /@/'k/j//u/zd
accuse_yourself /@/'k/j//u/z_/j//U/r's/E/lf
accustom /@/'k/@/st/@/m
accustomed /@/'k/@/st/@/md
accustomedly /@/'k/@/st/@/mdl/i/
accustomedness /@/'k/@/st/@/mdn/E/s
Ace /eI/s
ace /eI/s
ace-high /eI/s_h/aI/
acedia /@/'s/i/d/i//@/
Aceldama /@/'s/E/ld/@/m/@/
acellular /eI/'s/E/l/j//U/l/@/r
acenesthesia ,/eI/s/i/n/I/s'/T//i//Z//@/
acentric /eI/'s/E/ntr/I/k
acephalous /eI/'s/E/f/@/l/@/s
acequia /@/'s/eI/k/j//@/
acerate '/&/s/@/'r/eI/t
acerb /@/'s/[@]/rb
Acerbas /@/'s/[@]/rb/@/s
acerbate/aj /@/'s/[@]/rb/I/t
acerbate/v '/&/s/@/r,b/eI/t
acerbic /@/'s/[@]/rb/I/k
acerbity /@/'s/[@]/rb/I/t/i/
acerdol '/&/s/@/r,d/oU/l
acerose '/&/s/@/,r/oU/s
acerous /eI/'s/i/r/@/s
acervate /@/'s/[@]/rv/I/t
acervately /@/'s/[@]/rv/I/tl/i/
acervulus /@/'s/[@]/rv/j//@/l/@/s
acescent /@/'s/E/s/@/nt
Acesius /@/'s/E/s/i//@/s
acesodyne /@/'s/E/s/@/,d/aI/n
acesodynous ,/&/s/I/'s/A/d/-/n/E/s
Acessamenus /@/,s/E/s/@/'m/i/n/@/s
acestoma ,/&/s/I/'st/oU/m/@/
acetabuliform ,/&/s/I/'t/&/b/j//@/l/@/,f/O/rm
acetabulum ,/&/s/I/'t/&/b/j//@/l/@/m
acetal '/&/s/I/,t/&/l
acetaldehyde ,/&/s/I/'t/&/ld/@/,h/aI/d
acetaldol '/&/s/I/,t/&/ld/oU/l
acetamid ,/&/s/I/'t/&/m/I/d
acetamide ,/&/s/I/'t/&/m/aI/d
Acetaminophen /A/s/i/t/A/'m/I/n/oU/f/@/n
acetanilid ,/&/s/I/'t/&/n/-/l/I/d
acetanilide ,/&/s/I/'t/&/n,/-/l/aI/d
acetanisidine ,/&/s/I/t/@/'n/I/s/I/,d/i/n
acetate '/&/s/I/,t/eI/t
acetate_green '/&/s/I/,t/eI/t_gr/i/n
acetate_nitrate '/&/s/I/,t/eI/t_'n/aI/tr/eI/t
acetate_rayon '/&/s/I/,t/eI/t_'r/eI//A/n
acetation ,/&/s/I/'t/eI//S//@/n
acetazolamide ,/&/s/I/t/@/'z/oU/l/@/,m/aI/d
Acetes /@/'s/i/t/i/z
acetic /@/'s/i/t/I/k
acetic_acid /@/'s/i/t/I/k_'/&/s/I/d
acetic_anhydride /@/'s/i/t/I/k_/&/n'h/aI/dr/aI/d
acetify /@/'s/E/t/@/,f/aI/
acetimeter ,/&/s/I/'t/I/m/I/t/@/r
acetimetric ,/&/s/I/t/@/'m/E/tr/I/k
acetin '/&/s/I/t/I/n
acetobacter /@/,s/i/t/@/'b/&/kt/@/r
acetoin /@/'s/E/t/oU//I/n
acetometer ,/&/s/I/'t/A/m/I/t/@/r
acetometric ,/&/s/I/t/@/'m/E/tr/I/k
acetone '/&/s/I/,t/oU/n
acetone_alcohol '/&/s/I/,t/oU/n_'/&/lk/@/,h/O/l
acetone_body '/&/s/I/,t/oU/n_'b/A/d/i/
acetone_chloroform '/&/s/I/,t/oU/n_'kl/oU/r/@/,f/O/rm
acetone_oil '/&/s/I/,t/oU/n_//Oi//l
acetonic ,/&/s/I/'t/A/n/I/k
acetonitrile ,/&/s/I/t/oU/'n/aI/tr/I/l
acetophenetidin ,/&/s/I/t/oU/f/@/'n/E/t/I/d/I/n
acetophenetidine ,/&/s/I/t/oU/f/@/'n/E/t/I/,d/i/n
acetophenone ,/&/s/I/t/oU/f/@/'n/oU/n
acetose '/&/s/I/,t/oU/s
acetostearin ,/&/s/I/t/oU/'st/i//@/r/I/n
acetous '/&/s/I/t/@/s
acetous_fermentation '/&/s/I/t/@/s_,f/[@]/rm/E/n't/eI//S//@/n
acetum /@/'s/i/t/@/m
acetyl /@/'s/i/t/-/l
acetylaminobenzene /@/,s/i/t/-/l/@/,m/i/n/oU/'b/E/nz/i/n
acetylaniline /@/,s/i/t/-/l'/&/n/-/l/I/n
acetylate /@/'s/E/t,/-/l/eI/t
acetylbenzene /@/,s/i/t/-/l'b/E/nz/i/n
acetylcholine /@/,s/i/t/-/l'k/oU/l/i/n
acetylene /@/'s/E/t,/-/l/i/n
acetylene_acid /@/'s/E/t,/-/l/i/n_'/&/s/I/d
acetylene_alcohol /@/'s/E/t,/-/l/i/n_'/&/lk/@/,h/O/l
acetylene_black /@/'s/E/t,/-/l/i/n_bl/&/k
acetylene_burner /@/'s/E/t,/-/l/i/n_'b/[@]/rn/@/r
acetylene_dichloride /@/'s/E/t,/-/l/i/n_d/aI/'kl/oU/r/aI/d
acetylene_gas /@/'s/E/t,/-/l/i/n_g/&/s
acetylene_linkage /@/'s/E/t,/-/l/i/n_'l/I//N/k/I//dZ/
acetylene_series /@/'s/E/t,/-/l/i/n_'s/i/r/i/z
acetylene_tetrachloride /@/'s/E/t,/-/l/i/n_,t/E/tr/@/'kl/oU/r/aI/d
acetylene_torch /@/'s/E/t,/-/l/i/n_t/O/r/tS/
acetylene_urea /@/'s/E/t,/-/l/i/n_/j//U/'r/i//@/
acetylenic /@/,s/E/t'/-/l/E/n/I/k
acetylenogen /@/,s/E/t'/-/l/i/n/@//dZ//@/n
acetylic ,/&/s/I/'t/I/l/I/k
acetylide /@/'s/E/t,/-/l/aI/d
acetylize /@/'s/E/t,/-/l/aI/z
acetylmethylcarbinol /@/,s/i/t/-/l,m/E//T//I/l'k/A/rb/@/,n/oU/l
acetyl_bromide /@/'s/i/t/-/l_'br/oU/m/aI/d
acetyl_carbinol /@/'s/i/t/-/l_'k/A/rb/@/,n/oU/l
acetyl_chloride /@/'s/i/t/-/l_'kl/oU/r/aI/d
acetyl_group /@/'s/i/t/-/l_gr/u/p
acetyl_index /@/'s/i/t/-/l_'/I/nd/E/ks
acetyl_oxide /@/'s/i/t/-/l_'/A/ks/aI/d
acetyl_radical /@/'s/i/t/-/l_'r/&/d/I/k/@/l
acetyl_value /@/'s/i/t/-/l_'v/&/l/j//u/
acey-deucy '/eI/s/i/'d/u/s/i/
Ace_bandage /eI/s_'b/&/nd/I//dZ/
ace_point /eI/s_p//Oi//nt
Achab '/eI/k/&/b
Achad '/eI/k/&/d
Achaea /@/'k/i//@/
Achaean /@/'k/i//@/n
Achaemenes /@/'k/i/m/@/,n/i/z
Achaemenian ,/&/k/@/'m/i/n/i//@/n
Achaemenid /@/'k/i/m/@/n/I/d
Achaemenides ,/&/k/@/'m/E/n/I/,d/i/z
Achaeus /@/'k/i//@/s
Achaia /@/'k/eI//@/
Achaian /@/'k/eI//@/n
achalasia ,/&/k/@/'l/eI//Z//@/
Achan '/eI/k/&/n
achar /A/'/tS//A/r
Achates /@/'k/eI/t/i/z
Achaz '/eI/k/&/z
ache /eI/k
achech /&/'/tS//E/k
acheilary /@/'k/aI/l/@/r/i/
Achelous ,/&/k/@/'l/oU//@/s
achene /eI/'k/i/n
achenial /eI/k'/E/n/i//@/l
Achernar '/eI/k/@/r,n/A/r
Acheron '/&/k/@/,r/A/n
Acheson '/&//tS//I/s/@/n
Acheulean /@/'/S//u/l/i//@/n
Acheulian /@/'/S//u/l/i//@/n
ache_for /eI/k_f/O/r
achieve /@/'/tS//i/v
achievement /@/'/tS//i/vm/@/nt
achievement_age /@/'/tS//i/vm/@/nt_/eI//dZ/
achievement_quotient /@/'/tS//i/vm/@/nt_'kw/oU//S//@/nt
achievement_test /@/'/tS//i/vm/@/nt_t/E/st
achieve_orgasm /@/'/tS//i/v_'/O/rg/&/z/@/m
achieve_success /@/'/tS//i/v_s/@/k's/E/s
achilary /@/'k/aI/l/@/r/i/
Achill '/&/k/@/l
achillea ,/&/k/I/'l/i//@/
Achillean ,/&/k/@/'l/i//@/n
Achilles /@/'k/I/l/i/z
Achilles_heel /@/'k/I/l/i/z_h/i/l
Achilles_tendon /@/'k/I/l/i/z_'t/E/nd/@/n
Achille_Lauro /A/'k/i/l/E/_'l/O/r/oU/
Achimaas /@/'k/I/m/i/,/&/s
Achimelech /@/'k/I/m/@/,l/E/k
achimenes /@/'k/I/m/@/,n/i/z
achiral /eI/'k/aI//@/r/@/l
Achish '/eI/k/I//S/
Achitophel /@/'k/I/t/@/,f/E/l
achkan '/&//tS/k/@/n
achlamydate /eI/'kl/&/m/I/,d/eI/t
achlamydeous ,/&/kl/@/'m/I/d/i//@/s
achlorhydria ,/eI/kl/oU/r'h/aI/dr/i//@/
achlorophyllous /eI/,kl/oU/r/@/'f/I/l/@/s
Achmed '/A/km/E/d
acholia /eI/'k/oU/l/i//@/
acholous /eI/'k/oU/l/@/s
acholuria ,/&/k/@/'l/U/r/i//@/
achondrite /eI/'k/A/ndr/aI/t
achondritic ,/eI/k/A/n'dr/I/t/I/k
achondroplasia /eI/,k/A/ndr/@/'pl/eI//Z//@/
achondroplastic /eI/,k/A/ndr/@/'pl/&/st/I/k
achroite '/&/kr/oU/,/aI/t
achromat '/&/kr/@/,m/&/t
achromate '/&/kr/@/,m/eI/t
achromatic ,/&/kr/@/'m/&/t/I/k
achromaticity ,/&/kr/oU/m/@/'t/I/s/I/t/i/
achromatic_color ,/&/kr/@/'m/&/t/I/k_'k/@/l/@/r
achromatic_lens ,/&/kr/@/'m/&/t/I/k_l/E/nz
achromatic_prism ,/&/kr/@/'m/&/t/I/k_'pr/I/z/@/m
achromatic_vision ,/&/kr/@/'m/&/t/I/k_'v/I//Z//@/n
achromatin /eI/'kr/oU/m/@/t/I/n
achromatise /@/'kr/oU/m/@/,t/aI/z
achromatism /eI/'kr/oU/m/@/,t/I/z/@/m
achromatize /eI/'kr/oU/m/@/,t/aI/z
achromatophil ,/eI/kr/@/'m/&/t/@/f/I/l
achromatophilia ,/eI/kr/@/,m/&/t/@/'f/I/l/i//@/
achromatophilic ,/eI/kr/@/,m/&/t/@/'f/I/l/I/k
achromatous /eI/'kr/oU/m/@/t/@/s
achromic /eI/'kr/oU/m/I/k
achromobacter /eI/'kr/oU/m/@/,b/&/kt/@/r
Achromycin ,/&/kr/oU/'m/aI/s/I/n
achronychous /@/'kr/A/n/@/k/@/s
Achsah '/&/ks/@/
achy '/eI/k/i/
acicula /@/'s/I/k/j//@/l/@/
acicular /@/'s/I/k/j//@/l/@/r
acicularity /@/,s/I/k/j//@/'l/&/r/I/t/i/
acicularly /@/'s/I/k/j//@/l/@/rl/i/
aciculate /@/'s/I/k/j//@/l/I/t
aciculum /@/'s/I/k/j//@/l/@/m
acid '/&/s/I/d
acid-ash '/&/s/I/d_/&//S/
acid-base '/&/s/I/d_b/eI/s
acid-binding '/&/s/I/d_'b/aI/nd/I//N/
acid-fast '/&/s/I/d_,f/&/st
acid-fastness '/&/s/I/d_'f/&/stn/I/s
acid-forming '/&/s/I/d_,f/O/rm/I//N/
acid-head '/&/s/I/d_h/E/d
acid-mordant '/&/s/I/d_'m/O/rd/-/nt
acid-treat '/&/s/I/d_tr/i/t
Acidalium ,/&/s/I/'d/&/l/i//@/m
Acidanthera ,/&/s/I/'d/&/n/T//@/r/@/
acidemia ,/&/s/I/'d/i/m/i//@/
acidic /@/'s/I/d/I/k
acidify /@/'s/I/d/@/,f/aI/
acidimeter ,/&/s/I/'d/I/m/I/t/@/r
acidimetric ,/&/s/I/d/@/'m/E/tr/I/k
acidimetry ,/&/s/I/'d/I/m/I/tr/i/
acidity /@/'s/I/d/I/t/i/
acidity_coefficient /@/'s/I/d/I/t/i/_,k/oU//@/'f/I//S//@/nt
acidize '/&/s/I/,d/aI/z
acidly '/&/s/I/dl/i/
acidogenic ,/&/s/I/d/oU/'/dZ//E/n/I/k
acidolysis ,/&/s/I/'d/A/l/I/s/I/s
acidophil '/&/s/I/d/oU/,f/I/l
acidophile '/&/s/I/d/oU/,f/aI/l
acidophilic ,/&/s/I/d/oU/'f/I/l/I/k
acidophilus ,/&/s/I/'d/A/f/@/l/@/s
acidophilus_milk ,/&/s/I/'d/A/f/@/l/@/s_m/I/lk
acidosis ,/&/s/I/'d/oU/s/I/s
acidotic ,/&/s/I/'d/A/t/I/k
acidulant /@/'s/I//dZ//@/l/@/nt
acidulate /@/'s/I//dZ//@/,l/eI/t
acidulent /@/'s/I//dZ//@/l/@/nt
acidulous /@/'s/I//dZ//@/l/@/s
aciduric ,/&/s/I/'d/U/r/I/k
acidy '/&/s/I/d/i/
acid_albumin '/&/s/I/d_/&/l'b/j//u/m/@/n
acid_albuminate '/&/s/I/d_/&/l'b/j//u/m/@/,n/eI/t
acid_amide '/&/s/I/d_'/&/m/aI/d
acid_anhydride '/&/s/I/d_/&/n'h/aI/dr/aI/d
acid_azide '/&/s/I/d_'/&/z/aI/d
acid_bath '/&/s/I/d_b/&//T/
acid_black '/&/s/I/d_bl/&/k
acid_blast '/&/s/I/d_bl/&/st
acid_blower '/&/s/I/d_'bl/oU//@/r
acid_boiler '/&/s/I/d_'b//Oi//l/@/r
acid_bronze '/&/s/I/d_br/A/nz
acid_brown '/&/s/I/d_br/AU/n
acid_burner '/&/s/I/d_'b/[@]/rn/@/r
acid_casein '/&/s/I/d_'k/eI/s/i/n
acid_cell '/&/s/I/d_s/E/l
acid_color '/&/s/I/d_'k/@/l/@/r
acid_dipper '/&/s/I/d_'d/I/p/@/r
acid_drop '/&/s/I/d_dr/A/p
